Shelfmark,Contents,Link to Digitised Manuscripts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 66,"Grant of King Æthelberht of the West Saxons (d. 865) to Wulflaf, minister",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 67,Grant of King Edgar of England (r. 959–975) to the church of Canterbury,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 68,"Grant of King Edward the Confessor (r. 1042–1066) to Æthelred, optimas",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 69,"Grant of King Cnut of England (r. 1016-1035) to Æthelric, minister",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 7,"Letter of Godfrey, archdeacon of Worcester, addressed to 'Pope A.', certifying the authenticity of a charter of King Edgar of England (r. 959–975)",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 70,Agreement between Archbishop Eadsige of Canterbury (d. 1050) and Æthelric (Bigga),http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 71,"Grant of King Æthelwulf of the West Saxons (d. 858) to Ealdhere, minister",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 72,"Grant of Archbishop Wulfred of Canterbury (d. 832) to Christ Church, Canterbury",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 73,"Grant of King Edmund of England (r. 939–946) to the brothers Ordhelm and Ælfwold, his men",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 74,Grant of King Coenwulf of the Mercians (d. 821) to Archbishop Wulfred of Canterbury (d. 832),http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 75,Grant of King Ceolwulf of the Mercians (r. 821–823) and of the men of Kent to Archbishop Wulfred of Canterbury (d. 832),http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 76,Grant of King Burgred of the Mercians (?852–873×874) and Queen Æthelswyth to Wulflaf,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 77,Grant of King Coenwulf of Mercia (d. 821) to Archbishop Wulfred of Canterbury (d. 832),http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 78,"Record of a dispute between Archbishop Wulfred of Canterbury (d. 832), King Coenwulf of the Mercians (d. 821), and Abbess Cwenthryth (fl. 811–c.827)",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 79,"Grant of Ealdorman Oswulf and his wife Beornthryth to Christ Church, Canterbury; confirmation of Archbishop Wulfred (d. 832)",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 8,Grant of King Cnut (r. 1016-1035) to Bury St Edmunds Abbey,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 80,Writ of King Edward the Confessor (r. 1042–1066) concerning Bury St Edmunds,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 81,Writ of King Edward the Confessor (r. 1042–1066) for Westminster Abbey,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 82,"Grant of King Swæfred of Essex (fl. 693/4) and Pæogthath, comes, to Bishop Waldhere of London (fl. 694–704/5)",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 83,"Grant of King Eadred of England (d. 955) to Oswig, minister",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 84,"Thurketel to Bury St Edmunds; grant of land at Culford, Wordwell and Ixworth, Suffolk; c. 1040, in English (Sawyer, no. 1225).Latin anathema added in the first half of the 13th century: ‘Quicumque hanc cartam þurcecelli ab ecclesia sancti ædmundi alienauerit⸵ anathema sit.’Endorsed in an 11th-century hand, ‘Þurkytel Culeforde Wridewelle. Gyxeworðe’; and in a 12th-century hand, ‘ædmundi’ [?].",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 85,Will of Bishop Ælfric of Elmham (d. 1038),http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 86,Grant of King Cædwalla of the Gewisse (c. 659–689) to Bishop Wilfrid of Hexham (c. 634–709/10) and St Andrew’s minister at Pagham,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 87,Grant of King Cuthred of Kent (d. 756) to Archbishop Wulfred of Canterbury (d. 832),http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 88,"Grant of King Wihtred of Kent (d. 725) to St Mary’s Church, Lyminge",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 89,Grant of Eardwulf to Wighelm,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 9,"Grant of King Wiglaf of the Mercians (fl. 827–c. 840) to the minster at Hanbury, Worcestershire",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 90,"Account of the restoration of Sandwich, Kent, by King Harold of England (d. 1040) to Christ Church, Canterbury",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 91,"Grant of King Æthelberht II of Kent (d. 762) to Abbot Dunn and the church of St Mary, Lyminge",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 92,"Grant of Lufu, ancilla dei, to Christ Church, Canterbury",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 93,Grant of King Ceolwulf of the Mercians (r. 821–823) to Archbishop Wulfred of Canterbury (d. 832),http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 94,Grant of King Wiglaf of the Mercians (fl. 827–c.840) to Archbishop Wulfred of Canterbury (d. 832),http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 95,"Grant of King Æthelred of the West Saxons (d. 871) to Wighelm, priest",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 96,"Grant of King Coenwulf of the Mercians (d. 821) and his wife Cynegyth to Christ Church, Canterbury",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 97,"Grant of King Coenwulf of the Mercians (d. 821) to Oswulf, dux and minister; grant of Oswulf, dux, to Lyminge minster",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 98,"Grant of King Coenwulf of the Mercians (d. 821) to Eadwulf, minister",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus II 99,Grant of King Offa of the English (d. 796) to Archbishop Jænberht of Canterbury,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_II_99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus III/1,"A collection of drawings, maps and diagrams from the reign of Henry VIII; prints belonging to or associated with the Speculum Romanae Magnificentiae",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_III/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus III/2,A collection of prints from or associated with the Speculum Romanae Magnificentiae,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_III/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Augustus V,Zoroaster founder of the liberal arts,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Augustus_V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula A IX,"Layamon’s Brut, The Owl and the Nightingale, religious and historical texts in Middle-English and Anglo-Norman French",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_A_IX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula A VII,Heliand MS: Old Saxon life of Christ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_A_VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula A VII/1,"Eight leaves from a Psalter or a Gospel-Book 
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_A_VII/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula A VIII,"Libellus de primo Saxonum...adventu, with an image of Woden",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_A_VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula A XIV,Troper (with Ælfric material later on),http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_A_XIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula A XV ,"Jerome, De viri illustribus, Jerome, Vita S Pauli, extracts from Isidore's Eymologiae, book III of Cyprian's Ad Quirinum Testimonia, De computo paschali, compustical texts, prognostic material, charms, annals of Christ Church, Canterbury, extracts from Ælfric's De temporibus anni, and notes on topics like the ages of the world.",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_A_XV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula B IV,"Records and papers concerning Mary, Queen of Scots",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_B_IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula B IX/1,"Records and papers concerning England and Scotland, 1556-1579",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_B_IX/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula B VII,"Records and papers (originals and copies) concerning England and Scotland, 1525–1556",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_B_VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula B X/1,"Records and papers concerning England and Scotland, 1558-1561",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_B_X/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula B X/2,"Records and papers concerning England and Scotland, 1562-1567",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_B_X/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula C I,"Records and papers (originals and copies) concerning England and Scotland, 1567–1570",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_C_I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula C II,"Records and papers (primarily originals) concerning England and Scotland, 1569–1572.",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_C_II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula C III,"Records and papers concerning England and Scotland (originals and copies), 1568/9–1585, including a diary of John Lesley, bishop of Ross (d. 1596), 1571 (4r–40r); letters of Mary, queen of Scots (1542-67; d. 1587) (ff. 171, 244–248, 261–262, 423, 618, 620); and the pleading of Thomas Howard, 4th duke of Norfolk (d. 1572) (f. 189)",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_C_III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula C IV,"Records and papers (originals and copies) concerning England and Scotland, 1568–1575",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_C_IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula C IX/1,"Records and papers (originals and copies) concerning England and Scotland, 1581–1587",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_C_IX/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula C IX/2,"Records and papers (originals and copies) concerning England and Scotland, 1581–1587",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_C_IX/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula C V,"Records and papers concerning England and Scotland, 1575–1579",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_C_V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula C VI,"Records and papers (originals and copies) concerning England and Scotland, 1580–1581",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_C_VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula C VII,"Records and papers (originals and copies) concerning England and Scotland, 1582–1584, including correspondence of Mary, Queen of Scots",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_C_VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula C VIII,"Records and papers concerning England and Scotland, 1584–1586",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_C_VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula D I,"Records and papers concerning England and Scotland, 1587–1589",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_D_I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula D II,"Records and papers concerning England and Scotland, 1590–1603",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_D_II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Caligula D V,Original documents relating to England and France in the reigns of Henry V and Henry VI of England,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Caligula_D_V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Claudius A I,"Passio sancti Cypriani (imperfect); Rabanus Maurus, Homilia lxx (imperfect); Alcuin, Carmen xviii; Frithegod of Canterbury, Breviloquium Vitae Wilfridi; papal, episcopal and royal letters; various hagiographies, including Paulinus, Vita sancti Ambrosii episcopi; Inventio sanctorum Gervasii et Prothasii; Inventio sancti Nazarii; Pseudo-Sebastian of Monte Cassino, Vita sancti Hieronymi; Venantius Fortunatus, Vita sancti Hilarii Pictavensis episcopi and Miracula sancti Hilarii Pictavensis episcopi; Pseudo-Hilary of Poitiers, De spiritali prato; Pseudo-Hilary of Poitiers, Epistola ad Abram filiam suam; Hilary of Arles, Sermo in depositione sancti Honorati episcopi; Libellus de nativitate sancte Dei genetricis Marie; Vita sancte Marie Egyptiace, translated by Paul the Deacon; Pseudo-Aurelianus, Vita sancti Martialis episcopi; Leontius of Naples, Vita sancti Iohannis Eleemosynarii, as translated by Anastasius Bibliothecarius; Bede, Vita sancti Cuthberti episcopi; excerpts from Bede, Historia eccleisatica gentis Anglorum",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Claudius_A_I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Claudius A III,"Miscellany, including Pontificals, a Benedictional, Law Codes, documents, and miniatures",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Claudius_A_III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Claudius A V,"Pseudo-John of Peterborough, Peterborough Chronicle, AD 654-868, 890-1368; William of Malmesbury Gesta Pontificum Anglorum; William of Malmesbury, Vita Sancti Aldhelmi Episcopi; genealogy of King Henry II of England; Vita Sancti Erkenwaldi Episcopi; Vita Sancte Wenefrede Virginis; Miracula Sancte Wenefrede Virginis; Vita Sancti Neoti Abbatis; William of Malmesbury, Vita Sancti Wulfstani Episcopi",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Claudius_A_V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Claudius A VI,"Cartulary of Boxgrove Priory; Ivo of Chartres, Sermones; Epistolae; Marbod of Rennes, Epistola V; Hildebert of Lavardin, Epistola X; anonymous monk ('G') of Pontlevoy, three letters.",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Claudius_A_VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Claudius A XII,"Dudo of Saint-Quentin, Historia Normannorum; Marbod of Rennes, De Lapidibus; Bury St Edmunds hosteller’s register; William de Montibus, Poeniteas Cito",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Claudius_A_XII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Claudius B II,"Alan of Tewkesbury, Collectio epistolarum sancti Thome Cantuariensis; John of Salisbury, Life of St Thomas Becket with Alan's prologue 
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Claudius_B_II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Claudius B IV,Old English Hexateuch (imperfect),http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Claudius_B_IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Claudius B V,Acts of the Council of Constantinople with an additional pasted miniature,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Claudius_B_V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Claudius C IX,"Notarial copy of letters patent of Queen Elizabeth I of England (r. 1558–1603), issued at Hereford Cathedral; Charters of Kings Edward I (r. 1272–1307) and Henry III (r. 1216–72) of England for the Abingdon Abbey; Hugh of Saint-Victor, Chronicle; annalistic chronicle, AD 1–1171; William of Malmesbury, Gesta regum Anglorum; Award of Norham, addressed to the abbot and convent of Battle; Liber terrarum of Abingdon Abbey and other memoranda, including Old English boundary–clauses; Abingdon indices, notes and letters",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Claudius_C_IX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Claudius C VI,"Polemius Silvius, Nomina Provinciarum Omnium; Anonymous, Notitia Provinciarum et Civitatum Galliae; letters of Popes Leo I and Zosimus; a tree of consanguinity; Burchard of Worms, Decretum; a bull of Pope Leo IX; obituary of William I, king of England (1066–87); confraternity agreements; obituaries of Prior Conrad of St Benet of Hulme (d. 1127), and Priors Wibert (d. 1167) and Honorius (d. 1188) of Christ Church, Canterbury; obituary of Lanfranc, archbishop of Canterbury (1070–89); lectionary fragment; Lanfranc of Bec, Consuetudines; obituary of Louis VII, king of France (1137–80)",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Claudius_C_VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Claudius D IX,Decretals; Collectio Lanfranci,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Claudius_D_IX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Claudius D VI,"Composite: Matthew Paris, Abbreuiatio chronicorum",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Claudius_D_VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Claudius D VI/1,"Matthew Paris, Map of Britain 
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Claudius_D_VI/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Claudius E I,"Theological tracts, including Anselm of Canterbury's treatises, Arnold of Bonneval, De operibus sex dierum; Arnold of Bonneval, De sex verbis Domini in cruce; Peter the Chanter, Verbum abbreviatum; Liber Esdrae 
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Claudius_E_I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Claudius E III,"Radulphus de Diceto, Abbreviationes Chronicorum, Ymagines Historiarum; Winchester Chronicle; Henry Knighton, Chronicon; William Rishanger, Opus Chronicorum; Tito Livio Frulovisi, Vita Henrici Quinti; Robert Grosseteste, Epistola",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Claudius_E_III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Claudius E V,"Notitia provinciarum; Pseudo-Isidore Mercator, Decretales; excerpts from Bede, Historia ecclesiastica gentis Anglorum; Pseudo-Gregory the Great, Decreta; Cartulary of Christ Church, Canterbury; Ralph d'Escures, Letter 
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Claudius_E_V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Cleopatra A III,Latin-Old English glossaries,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Cleopatra_A_III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton MS Cleopatra A III/1,"Augustine of Hippo, De consensu euangelistarum (iii.18–23, iii.25, imperfect)",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Cotton_MS_Cleopatra_A_III/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
